model,has_businessId,indexed_on_businessId,field_count,relation_count,reader_modules,writer_modules,accessed_by_module_count,unreferenced
GenomeDeliveryCapability,TRUE,TRUE,24,1,business-genome,business-genome,1,FALSE
GenomeOperationsSnapshot,TRUE,TRUE,22,1,business-genome,business-genome,1,FALSE
GenomeGrowthChannel,TRUE,TRUE,19,1,business-genome,business-genome,1,FALSE
GenomeContentStrategy,TRUE,TRUE,14,1,business-genome,business-genome,1,FALSE
GenomeMarketingSnapshot,TRUE,TRUE,17,1,business-genome,business-genome,1,FALSE
GenomeCrossDomainSnapshot,TRUE,TRUE,14,1,business-genome,business-genome,1,FALSE
BusinessConstitutionVersion,TRUE,TRUE,17,1,business-genome,business-genome,1,FALSE
KeyActionProposal,TRUE,TRUE,42,0,business-genome key-autonomy,key-autonomy,2,FALSE
MarketStrategy,TRUE,TRUE,11,1,business-genesis,business-genesis,1,FALSE
Competitor,TRUE,TRUE,10,1,business-genesis,business-genesis,1,FALSE
DriveSyncCursor,TRUE,TRUE,8,1,,ai,1,FALSE
DriveIntakeFile,TRUE,TRUE,17,1,ai commerce contracts ingestion,ai commerce ingestion,4,FALSE
MessageIntake,TRUE,TRUE,25,3,communications,communications,1,FALSE
IngestionItem,TRUE,TRUE,30,2,ingestion,ingestion,1,FALSE
Membership,TRUE,TRUE,12,2,ai apps/server commerce core/auth crm identity key-cortex keystore security-audit structure task-assignments,ai apps/server identity structure,11,FALSE
TeamActivityLog,TRUE,TRUE,11,0,finance identity key-cortex,ai core/interceptors finance identity,5,FALSE
Session,FALSE,,4,1,,identity risc,2,FALSE
PushSubscription,TRUE,TRUE,9,1,push-notifications,push-notifications,1,FALSE
OrgUnit,TRUE,TRUE,19,3,structure,structure,1,FALSE
JobRole,TRUE,TRUE,12,1,key-cortex structure,structure,2,FALSE
OrgAssignment,TRUE,TRUE,28,6,ai payroll staff-performance structure,structure,4,FALSE
PayRate,TRUE,TRUE,11,2,payroll,payroll,1,FALSE
PayrollRun,TRUE,TRUE,16,1,payroll,payroll,1,FALSE
PayrollItem,TRUE,TRUE,12,3,,,0,TRUE
StaffPerformanceSnapshot,TRUE,TRUE,17,2,staff-performance,staff-performance,1,FALSE
DelegationRule,TRUE,TRUE,13,1,ai structure,structure,2,FALSE
Contact,TRUE,TRUE,119,4,actions ai analytics apps/server autopilot bookings calendar call-tasks commerce communications connect conversion core/connectors crm diagnostics email-marketing expenses finance flow gamification growth-intelligence identity intelligence key-cortex lead-forms marketplace momentum notifications onboarding-concierge os packages/api packages/db people-flow portal public-events reports retainers security-audit shopify site subscriptions trash whatsapp,apps/server autopilot calendar commerce connect conversion core/connectors crm device email-marketing flow key-inbox lead-forms onboarding-concierge packages/api packages/db public-events shopify site trash,45,FALSE
CustomFieldDefinition,TRUE,TRUE,15,0,crm,crm,1,FALSE
ContactCustomFieldValue,FALSE,,8,2,crm,crm,1,FALSE
Tag,TRUE,TRUE,7,0,,,0,TRUE
ContactTag,FALSE,,4,2,,,0,TRUE
Account,TRUE,TRUE,17,1,crm trash,crm trash,2,FALSE
DealStage,TRUE,TRUE,13,1,crm,crm,1,FALSE
Deal,TRUE,TRUE,39,5,ai analytics crm intelligence os people-flow trash,crm key-cortex trash,8,FALSE
ContactRelationship,TRUE,TRUE,11,2,crm,crm,1,FALSE
ContactShare,TRUE,TRUE,8,2,,,0,TRUE
ContactDataIssue,TRUE,TRUE,15,2,crm,crm,1,FALSE
WonLostReason,TRUE,TRUE,12,1,crm,crm,1,FALSE
ContactExternalMapping,TRUE,TRUE,8,1,connect core/connectors crm,connect core/connectors crm,3,FALSE
ContactSyncAudit,TRUE,TRUE,10,0,connect,connect,1,FALSE
CalendarSyncConflict,TRUE,TRUE,17,1,bookings calendar core/connectors,bookings,3,FALSE
CalendarEvent,TRUE,TRUE,32,1,ai calendar key-cortex,calendar key-cortex,3,FALSE
ConnectorStatus,TRUE,TRUE,17,0,ai apps/server connect core/connectors ingestion shopify,connect core/connectors shopify,6,FALSE
WebhookDeliveryLog,TRUE,TRUE,10,0,apps/server,core/connectors,2,FALSE
ConnectorActivityLog,TRUE,TRUE,10,0,core/connectors,core/connectors,1,FALSE
ContactEvent,TRUE,TRUE,11,2,ai commerce communications crm diagnostics flow growth-intelligence momentum packages/api,communications crm,9,FALSE
ContactReadState,TRUE,TRUE,7,0,crm,crm,1,FALSE
ContactChannelStat,TRUE,TRUE,14,2,crm,crm,1,FALSE
ConversationAIInsight,TRUE,TRUE,16,2,crm,crm,1,FALSE
ContactInsightSnapshot,TRUE,TRUE,12,2,crm,crm,1,FALSE
ContactNote,TRUE,TRUE,9,2,ai crm key-cortex packages/api,crm packages/api,4,FALSE
ContactTask,TRUE,TRUE,17,2,ai calendar crm evidence flow identity intelligence keyflow-command marketplace packages/api people-flow task-assignments,apps/server calendar call-tasks crm key-inbox packages/api public-events,16,FALSE
ContactImport,TRUE,TRUE,15,1,crm,crm,1,FALSE
ContactImportContact,FALSE,,9,2,crm,crm,1,FALSE
ContactMedia,TRUE,TRUE,9,2,crm,crm,1,FALSE
ContactPlaybook,TRUE,TRUE,11,2,crm,crm,1,FALSE
ContactList,TRUE,TRUE,12,0,crm,crm,1,FALSE
MergeOperation,TRUE,TRUE,14,0,crm,crm,1,FALSE
ContactSavedView,TRUE,TRUE,9,0,crm,crm,1,FALSE
ContactListMember,FALSE,,6,2,crm,crm,1,FALSE
Product,TRUE,TRUE,39,1,ai blueprint catalog commerce community conversion email-marketing finance flow gamification google-drive identity intelligence key-cortex marketplace onboarding-concierge packages/api reports seo shopify site subscriptions supplier trash,catalog packages/api,24,FALSE
Quote,TRUE,TRUE,30,2,ai analytics blueprint calendar command commerce connect crm finance flow gamification intelligence os public-events trash,calendar commerce connect crm trash,15,FALSE
QuoteItem,FALSE,,9,2,commerce,commerce,1,FALSE
Invoice,TRUE,TRUE,45,7,(root) actions ai analytics autopilot blueprint bookings calendar change-orders command commerce communications continental-ops conversion core/connectors crm diagnostics email-marketing expenses finance flow gamification growth-intelligence identity intelligence key-cortex marketplace momentum onboarding-concierge os payments portal public-events reports retainers site subscriptions time-tracking trash webhooks,apps/server autopilot calendar commerce conversion core/connectors crm finance marketplace onboarding-concierge packages/api site trash,42,FALSE
InvoiceItem,FALSE,,9,2,ai commerce expenses finance flow key-cortex,commerce,6,FALSE
Payment,TRUE,TRUE,17,1,(root) commerce communications core/connectors crm diagnostics finance intelligence key-cortex payments reports,commerce payments site,12,FALSE
WebhookEvent,TRUE,TRUE,6,0,,commerce,1,FALSE
GeneratedDocument,TRUE,TRUE,9,0,,,0,TRUE
PaymentLink,TRUE,TRUE,8,1,commerce finance public-events,commerce,3,FALSE
StaffMember,TRUE,TRUE,14,1,ai bookings commerce conversion crm flow key-cortex projects structure subscriptions task-assignments temporal trash,ai apps/server bookings trash,14,FALSE
